,precision,recall,f1-score,support
Adho Mukha Svanasana,0.42857142857142855,0.42857142857142855,0.42857142857142855,14.0
Adho Mukha Vrksasana,0.3,0.2727272727272727,0.2857142857142857,11.0
Alanasana,0.0,0.0,0.0,3.0
Anjaneyasana,1.0,0.2,0.3333333333333333,10.0
Ardha Chandrasana,0.4444444444444444,0.5714285714285714,0.5,7.0
Ardha Matsyendrasana,0.375,0.3333333333333333,0.35294117647058826,9.0
Ardha Navasana,0.0,0.0,0.0,3.0
Ardha Pincha Mayurasana,0.16666666666666666,0.3333333333333333,0.2222222222222222,6.0
Ashta Chandrasana,0.14285714285714285,0.3333333333333333,0.2,3.0
Baddha Konasana,0.0,0.0,0.0,9.0
Bakasana,0.6666666666666666,0.18181818181818182,0.2857142857142857,11.0
Balasana,0.5,0.5625,0.5294117647058824,16.0
Bitilasana,0.6666666666666666,0.42857142857142855,0.5217391304347826,14.0
Camatkarasana,0.42857142857142855,0.8181818181818182,0.5625,11.0
Dhanurasana,0.23076923076923078,0.42857142857142855,0.3,7.0
Eka Pada Rajakapotasana,0.5714285714285714,0.4444444444444444,0.5,9.0
Garudasana,0.4444444444444444,0.3333333333333333,0.38095238095238093,12.0
Halasana,0.2608695652173913,0.5454545454545454,0.35294117647058826,11.0
Hanumanasana,0.5625,0.6,0.5806451612903226,15.0
Malasana,0.4166666666666667,0.45454545454545453,0.43478260869565216,11.0
Marjaryasana,0.2,0.1111111111111111,0.14285714285714285,9.0
Navasana,0.2,0.5,0.2857142857142857,2.0
Padmasana,0.23529411764705882,0.4444444444444444,0.3076923076923077,9.0
Parsva Virabhadrasana,0.0,0.0,0.0,2.0
Parsvottanasana,0.1,0.16666666666666666,0.125,6.0
Paschimottanasana,0.8,0.36363636363636365,0.5,11.0
Phalakasana,0.5,0.5,0.5,8.0
Pincha Mayurasana,0.4,0.3333333333333333,0.36363636363636365,6.0
Salamba Bhujangasana,0.5,0.3,0.375,10.0
Salamba Sarvangasana,0.7333333333333333,0.8461538461538461,0.7857142857142857,13.0
Setu Bandha Sarvangasana,0.625,0.38461538461538464,0.47619047619047616,13.0
Sivasana,0.2857142857142857,1.0,0.4444444444444444,2.0
Supta Kapotasana,0.5,1.0,0.6666666666666666,1.0
Trikonasana,0.2,0.3333333333333333,0.25,3.0
Upavistha Konasana,1.0,1.0,1.0,3.0
Urdhva Dhanurasana,0.23076923076923078,0.3333333333333333,0.2727272727272727,9.0
Urdhva Mukha Svsnssana,0.38461538461538464,0.8333333333333334,0.5263157894736842,6.0
Ustrasana,0.5714285714285714,0.36363636363636365,0.4444444444444444,11.0
Utkatasana,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
Uttanasana,0.8,0.3333333333333333,0.47058823529411764,12.0
Utthita Hasta Padangusthasana,0.5,0.36363636363636365,0.42105263157894735,11.0
Utthita Parsvakonasana,0.25,0.25,0.25,8.0
Vasisthasana,0.375,0.2727272727272727,0.3157894736842105,11.0
Virabhadrasana One,0.6,0.3333333333333333,0.42857142857142855,9.0
Virabhadrasana Three,0.75,0.5,0.6,12.0
Virabhadrasana Two,0.7142857142857143,0.45454545454545453,0.5555555555555556,11.0
Vrksasana,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
accuracy,0.4306569343065693,0.4306569343065693,0.4306569343065693,0.4306569343065693
macro avg,0.4398441419547966,0.42983898489217637,0.40192640148792547,411.0
weighted avg,0.4943491242189602,0.4306569343065693,0.4323060085841197,411.0
