,precision,recall,f1-score,support
Adho Mukha Svanasana,1.0,0.7142857142857143,0.8333333333333334,14.0
Adho Mukha Vrksasana,0.75,0.5454545454545454,0.631578947368421,11.0
Alanasana,0.0,0.0,0.0,3.0
Anjaneyasana,0.2857142857142857,0.2,0.23529411764705882,10.0
Ardha Chandrasana,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
Ardha Matsyendrasana,0.7,0.7777777777777778,0.7368421052631579,9.0
Ardha Navasana,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Ardha Pincha Mayurasana,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
Ashta Chandrasana,0.25,0.3333333333333333,0.2857142857142857,3.0
Baddha Konasana,0.6,0.6666666666666666,0.631578947368421,9.0
Bakasana,0.5625,0.8181818181818182,0.6666666666666666,11.0
Balasana,0.75,0.75,0.75,16.0
Bitilasana,0.7142857142857143,0.7142857142857143,0.7142857142857143,14.0
Camatkarasana,0.7692307692307693,0.9090909090909091,0.8333333333333334,11.0
Dhanurasana,0.875,1.0,0.9333333333333333,7.0
Eka Pada Rajakapotasana,0.6,0.3333333333333333,0.42857142857142855,9.0
Garudasana,1.0,0.6666666666666666,0.8,12.0
Halasana,0.875,0.6363636363636364,0.7368421052631579,11.0
Hanumanasana,0.8,0.5333333333333333,0.64,15.0
Malasana,0.5454545454545454,0.5454545454545454,0.5454545454545454,11.0
Marjaryasana,0.5,0.6666666666666666,0.5714285714285714,9.0
Navasana,0.6666666666666666,1.0,0.8,2.0
Padmasana,0.5454545454545454,0.6666666666666666,0.6,9.0
Parsva Virabhadrasana,1.0,1.0,1.0,2.0
Parsvottanasana,0.36363636363636365,0.6666666666666666,0.47058823529411764,6.0
Paschimottanasana,0.8,0.7272727272727273,0.7619047619047619,11.0
Phalakasana,0.4444444444444444,0.5,0.47058823529411764,8.0
Pincha Mayurasana,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
Salamba Bhujangasana,0.5833333333333334,0.7,0.6363636363636364,10.0
Salamba Sarvangasana,0.7058823529411765,0.9230769230769231,0.8,13.0
Setu Bandha Sarvangasana,0.75,0.6923076923076923,0.72,13.0
Sivasana,1.0,1.0,1.0,2.0
Supta Kapotasana,0.25,1.0,0.4,1.0
Trikonasana,0.5,0.3333333333333333,0.4,3.0
Upavistha Konasana,1.0,0.6666666666666666,0.8,3.0
Urdhva Dhanurasana,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
Urdhva Mukha Svsnssana,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
Ustrasana,0.5294117647058824,0.8181818181818182,0.6428571428571429,11.0
Utkatasana,1.0,0.9166666666666666,0.9565217391304348,12.0
Uttanasana,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
Utthita Hasta Padangusthasana,0.7692307692307693,0.9090909090909091,0.8333333333333334,11.0
Utthita Parsvakonasana,0.4444444444444444,0.5,0.47058823529411764,8.0
Vasisthasana,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
Virabhadrasana One,0.2222222222222222,0.2222222222222222,0.2222222222222222,9.0
Virabhadrasana Three,0.7272727272727273,0.6666666666666666,0.6956521739130435,12.0
Virabhadrasana Two,0.6875,1.0,0.8148148148148148,11.0
Vrksasana,0.75,1.0,0.8571428571428571,9.0
accuracy,0.656934306569343,0.656934306569343,0.656934306569343,0.656934306569343
macro avg,0.6311277722416645,0.644093258986876,0.6199858177679709,411.0
weighted avg,0.6677731163132623,0.656934306569343,0.6485882568649093,411.0
