,precision,recall,f1-score,support
Adho Mukha Svanasana,0.6923076923076923,0.6428571428571429,0.6666666666666666,14.0
Adho Mukha Vrksasana,0.8,0.7272727272727273,0.7619047619047619,11.0
Alanasana,0.0,0.0,0.0,3.0
Anjaneyasana,0.6,0.6,0.6,10.0
Ardha Chandrasana,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
Ardha Matsyendrasana,1.0,0.8888888888888888,0.9411764705882353,9.0
Ardha Navasana,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Ardha Pincha Mayurasana,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
Ashta Chandrasana,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
Baddha Konasana,0.7,0.7777777777777778,0.7368421052631579,9.0
Bakasana,1.0,0.6363636363636364,0.7777777777777778,11.0
Balasana,0.5652173913043478,0.8125,0.6666666666666666,16.0
Bitilasana,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0
Camatkarasana,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Dhanurasana,0.7,1.0,0.8235294117647058,7.0
Eka Pada Rajakapotasana,0.8333333333333334,0.5555555555555556,0.6666666666666666,9.0
Garudasana,1.0,0.75,0.8571428571428571,12.0
Halasana,0.9,0.8181818181818182,0.8571428571428571,11.0
Hanumanasana,1.0,0.5333333333333333,0.6956521739130435,15.0
Malasana,0.8888888888888888,0.7272727272727273,0.8,11.0
Marjaryasana,0.6363636363636364,0.7777777777777778,0.7,9.0
Navasana,1.0,1.0,1.0,2.0
Padmasana,0.5833333333333334,0.7777777777777778,0.6666666666666666,9.0
Parsva Virabhadrasana,0.5,0.5,0.5,2.0
Parsvottanasana,0.42857142857142855,0.5,0.46153846153846156,6.0
Paschimottanasana,0.875,0.6363636363636364,0.7368421052631579,11.0
Phalakasana,0.5555555555555556,0.625,0.5882352941176471,8.0
Pincha Mayurasana,0.5,0.3333333333333333,0.4,6.0
Salamba Bhujangasana,0.7142857142857143,1.0,0.8333333333333334,10.0
Salamba Sarvangasana,0.8,0.9230769230769231,0.8571428571428571,13.0
Setu Bandha Sarvangasana,1.0,0.6923076923076923,0.8181818181818182,13.0
Sivasana,1.0,1.0,1.0,2.0
Supta Kapotasana,0.0,0.0,0.0,1.0
Trikonasana,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Upavistha Konasana,1.0,0.3333333333333333,0.5,3.0
Urdhva Dhanurasana,0.5714285714285714,0.8888888888888888,0.6956521739130435,9.0
Urdhva Mukha Svsnssana,0.5454545454545454,1.0,0.7058823529411765,6.0
Ustrasana,0.8888888888888888,0.7272727272727273,0.8,11.0
Utkatasana,0.8571428571428571,1.0,0.9230769230769231,12.0
Uttanasana,0.6923076923076923,0.75,0.72,12.0
Utthita Hasta Padangusthasana,0.9,0.8181818181818182,0.8571428571428571,11.0
Utthita Parsvakonasana,0.5454545454545454,0.75,0.631578947368421,8.0
Vasisthasana,0.5,0.6363636363636364,0.56,11.0
Virabhadrasana One,0.3333333333333333,0.1111111111111111,0.16666666666666666,9.0
Virabhadrasana Three,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
Virabhadrasana Two,0.7333333333333333,1.0,0.8461538461538461,11.0
Vrksasana,0.8181818181818182,1.0,0.9,9.0
accuracy,0.7372262773722628,0.7372262773722628,0.7372262773722628,0.7372262773722628
macro avg,0.7086291214182056,0.69717076658566,0.6869917029436509,411.0
weighted avg,0.7542186039567823,0.7372262773722628,0.7300572156649101,411.0
